"otu","variable","value"
"Otu000010","run_9",2.25521418379195
"Otu000014","run_9",1.33052614955769
"Otu000120","run_9",1.27057489799895
"Otu000001","run_9",1.25607899118998
"Otu000009","run_9",1.17008742035721
"Otu000003","run_9",0.984673155156157
"Otu000007","run_10",2.47372678371188
"Otu000004","run_10",2.06758445551611
"Otu000013","run_10",2.17902602117277
"Otu000040","run_10",1.88197422183937
"Otu000010","run_10",2.02942218260785
"Otu000014","run_10",1.65153194669134
"Otu000120","run_10",1.65061908110308
"Otu000001","run_10",1.60931960570505
"Otu000009","run_10",1.59350280188321
"Otu000003","run_10",1.40802974187461
"Otu000007","run_11",2.24644223568319
"Otu000004","run_11",2.82860332922942
"Otu000013","run_11",2.78400766815402
"Otu000040","run_11",2.89553907227359
"Otu000010","run_11",2.06424667074719
"Otu000014","run_11",1.40599009450027
"Otu000120","run_11",0.935800790377617
"Otu000001","run_11",0.988250630870783
"Otu000009","run_11",1.23458644568117
"Otu000003","run_11",1.00232253616696
"Otu000007","run_12",2.31896334959255
"Otu000004","run_12",2.24196007242188
"Otu000013","run_12",2.59869904934446
"Otu000040","run_12",2.63645134025198
"Otu000010","run_12",1.91886526832815
"Otu000014","run_12",1.61832674045629
"Otu000120","run_12",1.74891010366175
"Otu000001","run_12",1.02240969581526
"Otu000009","run_12",1.53720778363811
"Otu000003","run_12",0.963469754384308
"Otu000007","run_13",2.35813059855485
"Otu000004","run_13",2.04212502179655
"Otu000013","run_13",2.17228231511005
"Otu000040","run_13",2.40131208534478
"Otu000010","run_13",1.62023960504823
"Otu000014","run_13",1.58187924642704
"Otu000120","run_13",1.51013466938658
"Otu000001","run_13",1.62510344027584
"Otu000009","run_13",1.77743063016624
"Otu000003","run_13",1.20978344052141
"Otu000007","run_14",2.7270730506972
"Otu000004","run_14",2.61928656560561
"Otu000013","run_14",2.52880172809244
"Otu000040","run_14",1.82057756538679
"Otu000010","run_14",2.47699804872889
"Otu000014","run_14",1.38976733029605
"Otu000120","run_14",1.61672647665198
"Otu000001","run_14",0.926572306797149
"Otu000009","run_14",1.27252914621451
"Otu000003","run_14",0.99956251837148
"Otu000007","run_15",2.16181550106599
"Otu000004","run_15",1.94283025524032
"Otu000013","run_15",2.51278731045474
"Otu000040","run_15",1.95509919978432
"Otu000010","run_15",1.94257614218709
"Otu000014","run_15",2.1068837677252
"Otu000120","run_15",1.43295569739686
"Otu000001","run_15",1.43007478641391
"Otu000009","run_15",1.63142062759492
"Otu000003","run_15",1.47460934371562
"Otu000007","run_16",2.24396076637137
"Otu000004","run_16",2.31955512604487
"Otu000013","run_16",2.1777054491743
"Otu000040","run_16",2.48309961125034
"Otu000010","run_16",2.31316855544029
"Otu000014","run_16",1.42079622384316
"Otu000120","run_16",1.07672620409083
"Otu000001","run_16",1.9127452048006
"Otu000009","run_16",1.61045050585232
"Otu000003","run_16",0.952318668921378
"Otu000007","run_17",2.00474512833415
"Otu000004","run_17",2.23146845640906
"Otu000013","run_17",2.14450434452687
"Otu000040","run_17",2.59202211841116
"Otu000010","run_17",1.89713355869414
"Otu000014","run_17",1.59167881238864
"Otu000120","run_17",1.16409706918673
"Otu000001","run_17",1.88211049505103
"Otu000009","run_17",1.43622787731543
"Otu000003","run_17",1.49917003441963
"Otu000007","run_18",2.25745542800536
"Otu000004","run_18",2.85077059909885
"Otu000013","run_18",2.23605261958657
"Otu000040","run_18",2.31604021772792
"Otu000010","run_18",2.12779688181188
"Otu000014","run_18",1.30399424460595
"Otu000120","run_18",1.43937583764605
"Otu000001","run_18",1.43532693672231
"Otu000009","run_18",1.37993484310263
"Otu000003","run_18",1.1869366022188
"Otu000007","run_19",3.23451418739576
"Otu000004","run_19",2.78474513808095
"Otu000013","run_19",2.46279225279663
"Otu000040","run_19",1.8929992268247
"Otu000010","run_19",2.40893033005434
"Otu000014","run_19",1.17819987406927
"Otu000120","run_19",1.09864196008943
"Otu000001","run_19",1.32430588182177
"Otu000009","run_19",1.33922491210988
"Otu000003","run_19",0.866698868336206
"Otu000007","run_20",2.82363403724477
"Otu000004","run_20",2.02248349305453
"Otu000013","run_20",2.33324269851198
"Otu000040","run_20",2.42116670975178
"Otu000010","run_20",2.62987045050405
"Otu000014","run_20",1.42601164802699
"Otu000120","run_20",1.46833724305148
"Otu000001","run_20",1.16395685958339
"Otu000009","run_20",1.33552799649611
"Otu000003","run_20",0.897347811143345
"Otu000007","run_21",2.27192883322887
"Otu000004","run_21",2.16732062087756
"Otu000013","run_21",2.12683332988205
"Otu000040","run_21",1.82917719179704
"Otu000010","run_21",2.19381246134116
"Otu000014","run_21",2.16170622032658
"Otu000120","run_21",1.14476807024511
"Otu000001","run_21",1.59808874521038
"Otu000009","run_21",1.50589400319586
"Otu000003","run_21",1.5283652607375
"Otu000007","run_22",1.91257000508873
"Otu000004","run_22",2.14393904593255
"Otu000013","run_22",2.28173850508859
"Otu000040","run_22",2.33277577952342
"Otu000010","run_22",2.40759987138101
"Otu000014","run_22",1.40986331993868
"Otu000120","run_22",1.60794775374079
"Otu000001","run_22",1.58463025258096
"Otu000009","run_22",1.50936470157515
"Otu000003","run_22",1.35272865988696
"Otu000007","run_23",2.05567203229633
"Otu000004","run_23",2.74802961064979
"Otu000013","run_23",2.64855631972808
"Otu000040","run_23",2.28236519354076
"Otu000010","run_23",2.179609124398
"Otu000014","run_23",1.52353380332506
"Otu000120","run_23",1.30086829116539
"Otu000001","run_23",1.34251380631735
"Otu000009","run_23",1.52894417571156
"Otu000003","run_23",0.947276063920285
"Otu000007","run_24",2.55482345195431
"Otu000004","run_24",2.276631479958
"Otu000013","run_24",2.36731911613136
"Otu000040","run_24",2.02785135744414
