"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000064",0.20507794800274,0.184076246557082,0.226521335593305,"Firmicutes"
"Otu001201",0.20332181497101,0.13576870706906,0.246781654713448,"Clostridiales"
"Otu000590",0.202399429742309,0.156833633495354,0.230562779172937,"Lachnospiraceae"
"Otu000063",0.197213611075522,0.177215945010151,0.219646057900291,"Veillonella"
"Otu000070",0.196403283673787,0.177196532896576,0.216361847560416,"Blautia"
"Otu000108",0.196290722931373,0.183777690889033,0.219066255573245,"Roseburia"
"Otu000042",0.195820582707494,0.17045156943003,0.22896032643539,"Anaerostipes"
"Otu000169",0.193072973638312,0.153821687623793,0.241869515616919,"Coprococcus"
"Otu000173",0.191098067468025,0.166361233409308,0.220408246897276,"Coprococcus"
"Otu000099",0.190732135157949,0.159495082088199,0.215785970441757,"Clostridium XlVa"
"Otu000205",0.190137905656161,0.154911695803669,0.219442504489282,"Lachnospiraceae"
"Otu000191",0.189604376533491,0.143558601096786,0.229144904543667,"Lachnospiraceae"
"Otu000786",0.189543519002821,0.152463998387256,0.243519206535292,"Gordonibacter"
"Otu000909",0.186486891807025,0.143526403511145,0.247877926769967,"Ruminococcaceae"
"Otu000645",0.18604587667133,0.140112622981189,0.22031637560587,"Streptococcus"
"Otu000485",0.185636409702194,0.142841947495516,0.255115291927394,"Clostridium XlVa"
"Otu000117",0.184977834269697,0.160937348855396,0.209560986405024,"Veillonella"
"Otu000102",0.18111224324377,0.163785372699534,0.203771559329174,"Bacteroides"
"Otu000530",0.180456851481608,0.148977131741938,0.208561511613962,"Alistipes"
"Otu000194",0.179747443406917,0.161718575046465,0.196155205363716,"Actinomyces"
"Otu000463",0.179506190971092,0.160053655435298,0.200237872452131,"Clostridiales"
"Otu000178",0.178883276174298,0.163568869604481,0.204247586286751,"Clostridium XlVa"
"Otu000245",0.178253851420044,0.145879650329474,0.214394221031549,"Butyricicoccus"
"Otu000342",0.176784034735579,0.147055507219416,0.21521145163774,"Clostridiales"
"Otu000499",0.176309397066967,0.147375415488032,0.225291807007857,"Clostridium XlVa"
"Otu000128",0.175737584858269,0.150533240103943,0.221591107097006,"Dialister"
"Otu001128",0.175400482457761,0.127284533121397,0.23477271334244,"Ruminococcaceae"
"Otu000089",0.174851601194568,0.134935461723563,0.215003314423568,"Clostridiales"
"Otu000105",0.174783858697991,0.153929622165944,0.203911964736168,"Parasutterella"
"Otu000897",0.173433332147459,0.146816818141191,0.217745210040808,"Clostridium XlVb"
"Otu000312",0.173252950190763,0.145774558750547,0.217643067877165,"Clostridium XlVa"
"Otu000075",0.171708963980571,0.154141562353962,0.187166025380678,"Ruminococcaceae"
"Otu000133",0.169419322545855,0.152234513330477,0.191023457513242,"Prevotella"
"Otu000514",0.168911370133811,0.133734927447502,0.202785620484485,"Lachnospiraceae"
"Otu000286",0.168603423846267,0.139814152058488,0.216222456703632,"Peptostreptococcaceae"
"Otu000121",0.168389536406272,0.149910914725914,0.193606448348413,"Blautia"
"Otu000188",0.16632041253327,0.129656251784727,0.212240054506622,"Acidaminococcus"
"Otu002969",0.165849528841859,0.115560723347229,0.231844168427127,"Firmicutes"
"Otu000872",0.164918494846928,0.135449504701547,0.183746890325085,"Clostridiales"
"Otu000240",0.164367954612026,0.150402194276297,0.179052127498442,"Oscillibacter"
"Otu000114",0.164077035796474,0.141667431015824,0.185212515561477,"Clostridium IV"
"Otu000219",0.163214340515098,0.129633960247551,0.202349699200209,"Lactobacillus"
"Otu000193",0.162629145622952,0.134496350292223,0.19576054582946,"Barnesiella"
"Otu000731",0.162154340841989,0.130381126290594,0.196764583995358,"Ruminococcaceae"
"Otu003054",0.16197957265567,0.124739389350514,0.216140734611716,"Clostridiales"
"Otu000476",0.16187809163902,0.150001405976207,0.188812286090363,"Lachnospiraceae"
"Otu000707",0.160565124046674,0.137061706239183,0.195750058502288,"Ruminococcaceae"
"Otu000586",0.159830575553042,0.136095219776268,0.180523171779507,"Clostridium XlVb"
"Otu000196",0.159803817856191,0.139742567678318,0.177315857118972,"Clostridium XVIII"
"Otu000304",0.159020710652068,0.133219943921522,0.19518221160771,"Lactobacillus"
"Otu000310",0.158445527192799,0.143800169297392,0.182556568814919,"Ruminococcaceae"
"Otu000830",0.1584421180958,0.121307640937505,0.201356348171532,"Slackia"
"Otu000449",0.158348170872845,0.134604959378496,0.202668449404784,"Ruminococcus"
"Otu000271",0.157517203209322,0.140071944793004,0.176795292802488,"Asaccharobacter"
"Otu000358",0.156937077687507,0.141311368463299,0.189374698026535,"Lachnospiraceae"
"Otu000215",0.156084870520323,0.122276905177725,0.212817238144664,"Bacteroides"
"Otu000572",0.155496084295796,0.135488771282552,0.176436852247613,"Streptococcus"
"Otu000355",0.154412866316299,0.131992452723892,0.186336216798657,"Blautia"
"Otu000127",0.154385226961681,0.135663158735397,0.174310544926572,"Clostridium sensu stricto"
"Otu000055",0.153760993710256,0.137753626534551,0.169340699931524,"Bacteroides"
"Otu000145",0.153346396087128,0.111837396792091,0.187870519357084,"Bacteroides"
"Otu000029",0.152979492398799,0.121683959101542,0.187710304069418,"Blautia"
"Otu000190",0.152080971896777,0.125949995727738,0.181292808187038,"Streptococcus"
"Otu000276",0.151220839275409,0.131890501473352,0.186905605199496,"Blautia"
"Otu000072",0.149460526925532,0.130390104509241,0.178005350277552,"Butyricimonas"
"Otu000300",0.149219381598163,0.130219343138956,0.170639033509749,"Ruminococcaceae"
"Otu000038",0.14866872241269,0.126784288548773,0.187279907943226,"Roseburia"
"Otu000150",0.148613190299016,0.129189128967774,0.165371547407334,"Clostridium XI"
"Otu000700",0.148225187731918,0.119166966486359,0.184094416824375,"Lachnospiraceae"
"Otu000182",0.148116576830662,0.12829595825546,0.16224817161058,"Paraprevotella"
"Otu000417",0.147272706561971,0.105113916924008,0.19426282271562,"Ruminococcaceae"
"Otu000746",0.146721356127836,0.12099613617488,0.178417691150676,"Clostridium IV"
"Otu000246",0.145205761806841,0.127013443911209,0.16399505595672,"Oscillibacter"
"Otu000226",0.142148524410724,0.110769724348251,0.182459191268713,"Bacteroides"
"Otu000156",0.141471326660322,0.122629947262276,0.162048456125017,"Clostridiales"
"Otu000050",0.140820617622393,0.120077478373028,0.152067306264696,"Ruminococcus"
"Otu000515",0.139810978899681,0.108225156618822,0.178441096425329,"Ruminococcaceae"
"Otu000113",0.137830713154971,0.119435364625175,0.154435541264408,"Akkermansia"
