"mean_MDA","sd_MDA","variable"
"0.0358440964205674","0","Otu000795"
"0.0356585132204389","0","Otu000384"
"0.035168216698324","0","Otu000105"
"0.0342240038689325","0","Otu000756"
"0.0339860800669591","0","Otu000319"
"0.033626809619951","0","Otu000041"
"0.0326161842540705","0","Otu000003"
"0.0325597096753914","0","Otu000444"
"0.0322050698048289","0","Otu000821"
"0.031816830966801","0","Otu000049"
"0.0312890768344716","0","Otu000063"
"0.0311265376277473","0","Otu000216"
"0.0308926141610696","0","Otu001066"
"0.0308618014436985","0","Otu000300"
"0.0306276594357101","0","Otu000616"
"0.0303330112627171","0","Otu000013"
"0.0302666444373517","0","Otu000454"
"0.0300733916202479","0","Otu000348"
"0.0300579507398374","0","Otu000058"
"0.0299696569644675","0","Otu002969"
"0.0297387339279406","0","Otu000005"
"0.0295976452214465","0","Otu000047"
"0.0294753601900011","0","Otu000087"
"0.0293055038852908","0","Otu000102"
"0.0290940801569252","0","Otu000379"
"0.028977232058958","0","Otu000004"
"0.0283616196600948","0","Otu000177"
"0.0283356996513136","0","Otu000061"
"0.0282630030949392","0","Otu000185"
"0.0282243267879519","0","Otu000180"
"0.0277805353175969","0","Otu000438"
"0.0277302632940536","0","Otu000083"
"0.0275322186504523","0","Otu000512"
"0.0275107488768658","0","Otu000116"
"0.0274024698781065","0","Otu000014"
"0.0268919731867986","0","Otu000310"
"0.0268729829976867","0","Otu000125"
"0.0265993519913553","0","Otu000173"
"0.0263203911265577","0","Otu000543"
"0.0262015746196491","0","Otu000016"
"0.0258936948005246","0","Otu001543"
"0.0258524763179421","0","Otu000036"
"0.025768153340912","0","Otu000400"
"0.0256498316907588","0","Otu000121"
"0.0255812011233958","0","Otu000179"
"0.0254330329829073","0","Otu001055"
"0.0252889639683251","0","Otu001242"
"0.0247321177433677","0","Otu000261"
"0.0245496147827926","0","Otu000552"
"0.0245059882188625","0","Otu002355"
"0.0243580937236763","0","Otu000749"
"0.0240538300529173","0","Otu000272"
"0.0238177753663446","0","Otu000536"
"0.0237721708332847","0","Otu001307"
"0.0237403250773994","0","Otu001137"
"0.0237232456713236","0","Otu000570"
"0.0236433740953741","0","Otu000447"
"0.0233591739766082","0","Otu000075"
"0.0233090268981063","0","Otu000333"
"0.0231080466634814","0","Otu000278"
"0.0230721974096112","0","Otu000449"
"0.0230367624141839","0","Otu000888"
"0.0229559998653507","0","Otu000096"
"0.0227531211581253","0","Otu000260"
"0.0224602900722466","0","Otu001106"
"0.0224599748984284","0","Otu000007"
"0.022076925439168","0","Otu000268"
"0.0216374954018549","0","Otu001894"
"0.0215953841145638","0","Otu000222"
"0.0214682582428366","0","Otu000316"
"0.0214664676551519","0","Otu000418"
"0.0213788319530016","0","Otu000360"
"0.0210808491620992","0","Otu000707"
"0.0210656570311721","0","Otu000084"
"0.02099551468285","0","Otu000342"
"0.0209429193402029","0","Otu001041"
"0.0207485757023021","0","Otu000154"
"0.0206337140185667","0","Otu000021"
"0.0205972011668141","0","Otu000166"
"0.0202194131103338","0","Otu000615"
"0.0201625815058256","0","Otu001823"
"0.0195735983899142","0","Otu000150"
"0.0195586017862763","0","Otu000072"
"0.01942139034994","0","Otu000030"
