"variables","variable","value"
"Otu000020","run_6",3.40053123851354
"Otu000010","run_6",3.45948326919195
"Otu000007","run_6",3.63446917643648
"Otu000085","run_6",3.02338641777179
"Otu000290","run_6",3.51274347199432
"Otu000040","run_6",3.18087510191528
"Otu000155","run_6",3.15402350706989
"Otu000021","run_6",3.24728933786697
"Otu000393","run_6",3.17671808228826
"Otu000634","run_6",2.21244751373005
"Otu000016","run_6",3.35216461679235
"Otu000109","run_6",3.07591723106717
"Otu000044","run_6",3.09145791272568
"Otu000148","run_6",3.1625647792589
"Otu000146","run_6",3.13993947031721
"Otu000083","run_6",2.63194437870239
"Otu000108","run_6",2.92104734284433
"Otu000084","run_6",3.17014807403134
"Otu000028","run_6",3.0985601972798
"Otu000180","run_6",2.89317247206843
"Otu000088","run_6",2.81560777546447
"Otu000025","run_6",2.93881844894394
"Otu000315","run_6",2.16102635557903
"Otu000167","run_6",2.66335825688709
"Otu000605","run_6",2.48318011172014
"Otu000196","run_6",2.46607916807714
"Otu000202","run_6",2.22690530005333
"Otu000348","run_6",2.11817960512461
"Otu000199","run_6",1.99775358187642
"Otu000140","run_6",2.18604215305312
"Otu002106","run_6",2.05991596788885
"Otu000654","run_6",1.96277161495159
"Otu000209","run_6",1.840026866118
"Otu001307","run_6",1.40191443643069
"Otu000808","run_6",1.77947867743417
"Otu000061","run_7",3.65013249212501
"Otu000058","run_7",3.32238725460692
"Otu000006","run_7",3.69468665827355
"Otu000015","run_7",4.20995745729884
"Otu000005","run_7",3.69036145121395
"Otu000004","run_7",3.9974657723171
"Otu000037","run_7",3.46101002281305
"Otu000001","run_7",3.77265336576931
"Otu000014","run_7",3.5753591234267
"Otu000002","run_7",3.1803423738873
"Otu000009","run_7",3.4482355003336
"Otu000012","run_7",3.75067210499606
"Otu000018","run_7",3.54312001169783
"Otu000013","run_7",3.6041668496024
"Otu000041","run_7",3.24951337094646
"Otu000026","run_7",3.21815917927737
"Otu000036","run_7",3.16801401887615
"Otu000059","run_7",3.31583486845872
"Otu000003","run_7",3.34734879420466
"Otu000020","run_7",3.31651234351532
"Otu000010","run_7",3.30684307057564
"Otu000007","run_7",3.41713001617337
"Otu000085","run_7",2.98408714798668
"Otu000290","run_7",3.26222907769664
"Otu000040","run_7",3.46915091186643
"Otu000155","run_7",2.91041659317762
"Otu000021","run_7",3.11144136859601
"Otu000393","run_7",3.10626029047538
"Otu000634","run_7",2.05774937429088
"Otu000016","run_7",3.31608384277995
"Otu000109","run_7",3.39011633894293
"Otu000044","run_7",3.26877792753372
"Otu000148","run_7",3.05751902251948
"Otu000146","run_7",3.41404866321234
"Otu000083","run_7",2.83720013290448
"Otu000108","run_7",3.17346125364814
"Otu000084","run_7",3.22246596226626
"Otu000028","run_7",2.98061640572601
"Otu000180","run_7",3.03258986625104
"Otu000088","run_7",2.82166421541275
"Otu000025","run_7",2.84570088729596
"Otu000315","run_7",2.69337326663895
"Otu000167","run_7",2.44969571131723
"Otu000605","run_7",2.62244341401145
"Otu000196","run_7",2.43115476467841
"Otu000202","run_7",2.28774461661161
"Otu000348","run_7",1.60320999631068
"Otu000199","run_7",2.21553121405696
"Otu000140","run_7",2.17481038933398
"Otu002106","run_7",2.04632563276626
"Otu000654","run_7",1.58249947161599
"Otu000209","run_7",1.79034051393872
"Otu001307","run_7",1.51677675916344
"Otu000808","run_7",1.51369966079157
"Otu000061","run_8",3.60326156984624
"Otu000058","run_8",3.69322820957813
"Otu000006","run_8",3.64818944381012
"Otu000015","run_8",4.87787577580527
"Otu000005","run_8",3.30574111170642
"Otu000004","run_8",4.08640696928296
"Otu000037","run_8",3.44194066335154
"Otu000001","run_8",3.55049964571187
"Otu000014","run_8",3.56690536704237
"Otu000002","run_8",3.72466878591691
"Otu000009","run_8",3.25882016771213
"Otu000012","run_8",3.6603731249781
"Otu000018","run_8",3.65790497342206
"Otu000013","run_8",3.45439753832532
"Otu000041","run_8",3.21898537131229
"Otu000026","run_8",3.33099151108795
"Otu000036","run_8",3.49262503504631
"Otu000059","run_8",3.00252599241393
"Otu000003","run_8",3.37528154314795
"Otu000020","run_8",3.95380461816968
"Otu000010","run_8",3.41226051092542
"Otu000007","run_8",3.34489198507305
"Otu000085","run_8",3.02254215980184
"Otu000290","run_8",2.90165193467598
"Otu000040","run_8",3.4796710851717
"Otu000155","run_8",2.93922952319184
"Otu000021","run_8",3.35876984524982
"Otu000393","run_8",2.39561418771114
"Otu000634","run_8",2.28946181071405
"Otu000016","run_8",2.94903850706817
"Otu000109","run_8",3.1070487917024
"Otu000044","run_8",3.20276171202606
"Otu000148","run_8",2.78458019104126
"Otu000146","run_8",3.75043103062206
"Otu000083","run_8",2.74621289363061
"Otu000108","run_8",3.05456301273907
"Otu000084","run_8",3.10570378513343
"Otu000028","run_8",2.88030227226237
"Otu000180","run_8",2.82900960098794
"Otu000088","run_8",2.84633491569405
"Otu000025","run_8",2.69750543625611
"Otu000315","run_8",2.14911946747035
"Otu000167","run_8",2.55511165132056
"Otu000605","run_8",2.36243060208696
"Otu000196","run_8",2.26557459806169
"Otu000202","run_8",2.6614117537167
"Otu000348","run_8",2.11918935211105
"Otu000199","run_8",2.01967182987088
"Otu000140","run_8",2.73934611372774
"Otu002106","run_8",1.99364291447624
"Otu000654","run_8",1.36642370740299
"Otu000209","run_8",1.87144530541429
"Otu001307","run_8",2.21765302659501
"Otu000808","run_8",1.1254155620312
"Otu000061","run_9",3.82290977707788
"Otu000058","run_9",3.56825899353902
"Otu000006","run_9",4.80555001161222
"Otu000015","run_9",4.50671888543188
"Otu000005","run_9",4.06022839882321
"Otu000004","run_9",3.50877779914333
